ANÁLISE DE PERFORMANCE - JOGO NAVE
==================================================

Duração do teste: 15.0s
FPS Médio: 111.3
Frame Time Médio: 8.91ms

TOP 20 FUNÇÕES MAIS CUSTOSAS:
------------------------------
         2073659 function calls (2073635 primitive calls) in 15.585 seconds

   Ordered by: cumulative time
   List reduced from 572 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.066    0.066   15.585   15.585 C:\Users\User\Desktop\Jogo_Nave\performance_test.py:141(run_performance_test)
     1411    5.722    0.004    7.369    0.005 {built-in method pygame.display.flip}
     1411    0.046    0.000    7.105    0.005 C:\Users\User\Desktop\Jogo_Nave\game\scenes\playing.py:776(render)
     1411    0.016    0.000    3.599    0.003 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:346(background)
    12125    3.440    0.000    3.440    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
        2    0.000    0.000    1.438    0.719 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
        2    0.000    0.000    1.438    0.719 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
        2    0.000    0.000    1.438    0.719 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        2    0.003    0.002    1.437    0.718 C:\Users\User\Desktop\Jogo_Nave\game\core\sound.py:486(_smooth_transition)
     1411    1.314    0.001    1.314    0.001 {method 'fill' of 'pygame.surface.Surface' objects}
     1411    0.619    0.000    1.125    0.001 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:265(draw)
     1411    0.011    0.000    0.957    0.001 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:195(draw)
     1411    0.057    0.000    0.853    0.001 C:\Users\User\Desktop\Jogo_Nave\game\scenes\playing.py:132(update)
       20    0.000    0.000    0.657    0.033 C:\Users\User\Desktop\Jogo_Nave\game\core\assets.py:24(get_image)
       20    0.497    0.025    0.497    0.025 {built-in method pygame.image.load}
       40    0.491    0.012    0.491    0.012 {built-in method time.sleep}
     1411    0.029    0.000    0.470    0.000 C:\Users\User\Desktop\Jogo_Nave\game\systems\entity_manager.py:247(draw)
     6320    0.051    0.000    0.415    0.000 C:\Users\User\Desktop\Jogo_Nave\game\entities\meteor.py:193(draw)
        2    0.000    0.000    0.370    0.185 C:\Users\User\Desktop\Jogo_Nave\game\core\state.py:33(push)
    14/10    0.000    0.000    0.369    0.037 {method 'acquire' of '_thread.lock' objects}


