         1016169 function calls in 4.993 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      534    2.758    0.005    2.758    0.005 {method 'tick' of 'pygame.time.Clock' objects}
      534    0.006    0.000    0.824    0.002 slime_drip.py:311(draw)
    10401    0.079    0.000    0.818    0.000 slime_drip.py:204(draw)
      534    0.595    0.001    0.595    0.001 {built-in method pygame.display.flip}
   146025    0.262    0.000    0.573    0.000 slime_drip.py:61(draw)
      534    0.018    0.000    0.568    0.001 slime_drip.py:289(update)
    10451    0.196    0.000    0.461    0.000 slime_drip.py:158(update)
   155393    0.446    0.000    0.446    0.000 {built-in method pygame.draw.circle}
      534    0.247    0.000    0.247    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
   146949    0.156    0.000    0.185    0.000 slime_drip.py:42(update)
      278    0.033    0.000    0.079    0.000 spatial_grid.py:75(insert_batch)
    63997    0.030    0.000    0.046    0.000 config.py:503(__getattr__)
    10401    0.035    0.000    0.035    0.000 spatial_grid.py:38(_get_cells_for_rect)
     1957    0.008    0.000    0.034    0.000 slime_drip.py:231(_spawn_detach_particle)
   144992    0.031    0.000    0.031    0.000 {built-in method builtins.max}
   146949    0.029    0.000    0.029    0.000 {built-in method builtins.min}
     1957    0.008    0.000    0.020    0.000 slime_drip.py:16(__init__)
    63997    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
    62266    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
     7828    0.006    0.000    0.008    0.000 random.py:498(uniform)
    14365    0.008    0.000    0.008    0.000 {built-in method math.sin}
    10401    0.005    0.000    0.005    0.000 slime_drip.py:243(get_bounds)
     7828    0.003    0.000    0.003    0.000 {method 'random' of '_random.Random' objects}
      278    0.000    0.000    0.002    0.000 spatial_grid.py:103(clear)
      278    0.002    0.000    0.002    0.000 {method 'clear' of 'dict' objects}
     3914    0.002    0.000    0.002    0.000 {built-in method math.cos}
      536    0.001    0.000    0.001    0.000 {built-in method pygame.time.get_ticks}
     1957    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       50    0.000    0.000    0.000    0.000 slime_drip.py:282(release)
       50    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


