ANÁLISE DE PERFORMANCE - JOGO NAVE
==================================================

Duração do teste: 20.0s
FPS Médio: 117.6
Frame Time Médio: 8.64ms

TOP 20 FUNÇÕES MAIS CUSTOSAS:
------------------------------
         3216841 function calls (3216817 primitive calls) in 20.662 seconds

   Ordered by: cumulative time
   List reduced from 568 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.095    0.095   20.662   20.662 C:\Users\User\Desktop\Jogo_Nave\performance_test.py:141(run_performance_test)
     2152    0.057    0.000    9.406    0.004 C:\Users\User\Desktop\Jogo_Nave\game\scenes\playing.py:776(render)
     2152    7.648    0.004    9.383    0.004 {built-in method pygame.display.flip}
     2152    0.020    0.000    4.377    0.002 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:346(background)
    17911    4.051    0.000    4.051    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     2152    0.939    0.000    1.748    0.001 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:265(draw)
     2152    1.651    0.001    1.651    0.001 {method 'fill' of 'pygame.surface.Surface' objects}
        2    0.000    0.000    1.467    0.734 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
        2    0.000    0.000    1.467    0.733 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
        2    0.000    0.000    1.467    0.733 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        2    0.003    0.002    1.466    0.733 C:\Users\User\Desktop\Jogo_Nave\game\core\sound.py:486(_smooth_transition)
     2152    0.077    0.000    1.190    0.001 C:\Users\User\Desktop\Jogo_Nave\game\scenes\playing.py:132(update)
       24    0.001    0.000    0.966    0.040 C:\Users\User\Desktop\Jogo_Nave\game\core\assets.py:24(get_image)
       24    0.788    0.033    0.788    0.033 {built-in method pygame.image.load}
     2152    0.041    0.000    0.745    0.000 C:\Users\User\Desktop\Jogo_Nave\game\systems\entity_manager.py:247(draw)
    11608    0.075    0.000    0.681    0.000 C:\Users\User\Desktop\Jogo_Nave\game\entities\meteor.py:193(draw)
       10    0.011    0.001    0.625    0.063 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:53(_generate_scaled_image)
     2152    0.543    0.000    0.543    0.000 {method 'tick' of 'pygame.time.Clock' objects}
       40    0.499    0.012    0.499    0.012 {built-in method time.sleep}
     2152    0.071    0.000    0.487    0.000 C:\Users\User\Desktop\Jogo_Nave\performance_test.py:44(update)


