ANÁLISE DE PERFORMANCE - JOGO NAVE
==================================================

Duração do teste: 10.0s
FPS Médio: 50.3
Frame Time Médio: 19.44ms

TOP 20 FUNÇÕES MAIS CUSTOSAS:
------------------------------
         5011128 function calls (5011104 primitive calls) in 10.599 seconds

   Ordered by: cumulative time
   List reduced from 555 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021   10.599   10.599 C:\Users\User\Desktop\Jogo_Nave\performance_test.py:141(run_performance_test)
      495    0.017    0.000    8.724    0.018 C:\Users\User\Desktop\Jogo_Nave\game\scenes\playing.py:776(render)
      495    0.010    0.000    7.100    0.014 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:347(background)
      495    2.711    0.005    5.639    0.011 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:265(draw)
      495    1.939    0.004    1.939    0.004 {built-in method pygame.display.flip}
        2    0.000    0.000    1.610    0.805 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
        2    0.002    0.001    1.609    0.804 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
     4227    1.556    0.000    1.556    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
       22    0.000    0.000    0.745    0.034 C:\Users\User\Desktop\Jogo_Nave\game\core\assets.py:24(get_image)
      495    0.004    0.000    0.714    0.001 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:195(draw)
       40    0.547    0.014    0.629    0.016 {built-in method time.sleep}
       22    0.607    0.028    0.607    0.028 {built-in method pygame.image.load}
  1512737    0.521    0.000    0.521    0.000 {built-in method math.sin}
  1453337    0.495    0.000    0.495    0.000 {built-in method math.cos}
        2    0.000    0.000    0.467    0.234 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        2    0.000    0.000    0.467    0.233 C:\Users\User\Desktop\Jogo_Nave\game\core\sound.py:486(_smooth_transition)
  1472485    0.462    0.000    0.462    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.461    0.231 C:\Users\User\Desktop\Jogo_Nave\game\core\state.py:33(push)
    14/10    0.000    0.000    0.458    0.046 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.458    0.458 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1117(join)


