ANÁLISE DE PERFORMANCE - JOGO NAVE
==================================================

Duração do teste: 10.0s
FPS Médio: 118.3
Frame Time Médio: 8.61ms

TOP 20 FUNÇÕES MAIS CUSTOSAS:
------------------------------
         1422591 function calls (1422567 primitive calls) in 10.676 seconds

   Ordered by: cumulative time
   List reduced from 555 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.042    0.042   10.676   10.676 C:\Users\User\Desktop\Jogo_Nave\performance_test.py:141(run_performance_test)
     1059    3.609    0.003    5.354    0.005 {built-in method pygame.display.flip}
     1059    0.029    0.000    4.869    0.005 C:\Users\User\Desktop\Jogo_Nave\game\scenes\playing.py:776(render)
     1059    0.009    0.000    2.643    0.002 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:346(background)
     9007    2.338    0.000    2.338    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
        2    0.000    0.000    1.521    0.761 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
        2    0.000    0.000    1.521    0.761 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
        2    0.000    0.000    1.521    0.760 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        2    0.003    0.002    1.520    0.760 C:\Users\User\Desktop\Jogo_Nave\game\core\sound.py:486(_smooth_transition)
       23    0.000    0.000    0.886    0.039 C:\Users\User\Desktop\Jogo_Nave\game\core\assets.py:24(get_image)
     1059    0.441    0.000    0.808    0.001 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:265(draw)
     1059    0.791    0.001    0.791    0.001 {method 'fill' of 'pygame.surface.Surface' objects}
       23    0.744    0.032    0.744    0.032 {built-in method pygame.image.load}
     1059    0.006    0.000    0.654    0.001 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:195(draw)
       10    0.008    0.001    0.538    0.054 C:\Users\User\Desktop\Jogo_Nave\game\render\renderer.py:53(_generate_scaled_image)
       40    0.532    0.013    0.538    0.013 {built-in method time.sleep}
     1059    0.039    0.000    0.523    0.000 C:\Users\User\Desktop\Jogo_Nave\game\scenes\playing.py:132(update)
        2    0.000    0.000    0.449    0.225 C:\Users\User\Desktop\Jogo_Nave\game\core\state.py:33(push)
    14/10    0.000    0.000    0.447    0.045 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.447    0.447 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1117(join)


